Mission,Protection,FineTuning,ErrorModel,ErrorRate,Accuracy,BaselineAccuracy,AccuracyPreservation,TotalBits,FlippedBits,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,CorrectionEffectiveness,MemoryOverhead,ExecutionTime
LEO Equatorial,None,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,6.02017
LEO Equatorial,None,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,5.35133
LEO Equatorial,None,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,5.37258
LEO Equatorial,None,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,0,5.47341
LEO Equatorial,Minimal,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,10,5.31609
LEO Equatorial,Minimal,Basic,SingleBit,1e-06,0,35,0,20100000,17,17,0,17,0,10,5.4132
LEO Equatorial,Minimal,Standard,SingleBit,1e-06,0,35,0,20100000,47,47,0,47,0,10,5.31086
LEO Equatorial,Minimal,Advanced,SingleBit,1e-06,0,35,0,20100000,122,122,122,0,1,10,5.31904
LEO Equatorial,Moderate,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.44228
LEO Equatorial,Moderate,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.33479
LEO Equatorial,Moderate,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.32242
LEO Equatorial,Moderate,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,50,5.40596
LEO Equatorial,High,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,100,5.24033
LEO Equatorial,High,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,100,5.33854
LEO Equatorial,High,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,100,5.26975
LEO Equatorial,High,Advanced,SingleBit,1e-06,0,35,0,20100000,83,83,83,0,1,100,5.39255
LEO Equatorial,Very High,None,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.23129
LEO Equatorial,Very High,Basic,SingleBit,1e-06,0,35,0,20100000,224,224,0,224,0,200,5.87155
LEO Equatorial,Very High,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.42468
LEO Equatorial,Very High,Advanced,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,200,5.41514
LEO Equatorial,Adaptive,None,SingleBit,1e-06,0,35,0,20100000,17,17,0,17,0,75,5.8209
LEO Equatorial,Adaptive,Basic,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,75,5.49871
LEO Equatorial,Adaptive,Standard,SingleBit,1e-06,0,35,0,20100000,0,0,0,0,1,75,5.31442
