Architecture,Mission,Protection,FineTuningLevel,Epochs,LearningRate,DropoutRate,Accuracy,AccuracyUnderRadiation,AccuracyPreservation,MemoryOverhead,ExecutionTime
Wide (32-16),Mars,None,3,500,4.23912e-05,0.5,38.1643,56.0386,146.835,0,62.0387
Standard (16-8),Solar Probe,None,3,100,0.05,0,41.0628,42.029,102.353,0,10.6353
Standard (16-8),GEO,None,3,100,0.0127093,0.2,41.0628,41.5459,101.176,0,9.85603
Standard (16-8),Mars,None,3,500,0.000166772,0.2,41.0628,41.0628,100,0,45.109
Standard (16-8),Solar Probe,Adaptive,3,1000,0.00323054,0.2,41.0628,41.0628,100,75,194.522
Standard (16-8),GEO,None,3,1000,6.46108e-05,0.2,41.0628,41.0628,100,0,90.1401
Standard (16-8),GEO,None,3,100,6.46108e-05,0.5,41.0628,41.0628,100,0,8.00636
Standard (16-8),GEO,None,3,500,4.23912e-05,0.5,41.0628,41.0628,100,0,28.6298
Standard (16-8),GEO,None,3,1000,1.64232e-05,0.5,41.0628,41.0628,100,0,56.6218
Standard (16-8),GEO,None,3,100,0.01,0,41.0628,41.0628,100,0,10.6116
Standard (16-8),GEO,None,3,500,0.006561,0,41.0628,41.0628,100,0,54.4052
Standard (16-8),GEO,None,3,1000,0.00254187,0,41.0628,41.0628,100,0,109.866
Standard (16-8),GEO,None,3,100,0.00254187,0.2,41.0628,41.0628,100,0,9.11221
Standard (16-8),GEO,None,3,500,0.00166772,0.2,41.0628,41.0628,100,0,44.0443
Standard (16-8),GEO,None,3,1000,0.000646108,0.2,41.0628,41.0628,100,0,92.8017
Standard (16-8),GEO,None,3,100,0.000646108,0.5,41.0628,41.0628,100,0,5.80942
Standard (16-8),GEO,None,3,500,0.000423912,0.5,41.0628,41.0628,100,0,27.8931
Standard (16-8),GEO,None,3,1000,0.000164232,0.5,41.0628,41.0628,100,0,58.3293
Standard (16-8),GEO,None,3,100,0.05,0,41.0628,41.0628,100,0,11.3442
Standard (16-8),GEO,None,3,500,0.032805,0,41.0628,41.0628,100,0,55.1644
Standard (16-8),GEO,None,3,1000,0.0127093,0,41.0628,41.0628,100,0,110.696
Standard (16-8),GEO,None,3,100,0.000254187,0.2,41.0628,41.0628,100,0,9.57492
Standard (16-8),GEO,None,3,500,0.00833859,0.2,41.0628,41.0628,100,0,44.7139
Standard (16-8),GEO,None,3,1000,0.00323054,0.2,41.0628,41.0628,100,0,88.9893
Standard (16-8),GEO,None,3,100,0.00323054,0.5,41.0628,41.0628,100,0,6.34578
Standard (16-8),GEO,None,3,500,0.00211956,0.5,41.0628,41.0628,100,0,28.605
Standard (16-8),GEO,None,3,1000,0.00082116,0.5,41.0628,41.0628,100,0,56.9831
Standard (16-8),GEO,Minimal,3,100,0.001,0,41.0628,41.0628,100,10,11.2889
Standard (16-8),GEO,Minimal,3,500,0.0006561,0,41.0628,41.0628,100,10,56.3437
Standard (16-8),GEO,Minimal,3,1000,0.000254187,0,41.0628,41.0628,100,10,109.294
Standard (16-8),GEO,Minimal,3,100,0.000254187,0.2,41.0628,41.0628,100,10,8.32031
Standard (16-8),GEO,Minimal,3,500,0.000166772,0.2,41.0628,41.0628,100,10,43.8831
Standard (16-8),GEO,Minimal,3,1000,6.46108e-05,0.2,41.0628,41.0628,100,10,89.4117
Standard (16-8),GEO,Minimal,3,100,6.46108e-05,0.5,41.0628,41.0628,100,10,6.07306
Standard (16-8),GEO,Minimal,3,500,4.23912e-05,0.5,41.0628,41.0628,100,10,28.7457
Standard (16-8),GEO,Minimal,3,1000,1.64232e-05,0.5,41.0628,41.0628,100,10,63.8064
Standard (16-8),GEO,Minimal,3,100,0.01,0,41.0628,41.0628,100,10,13.0861
Standard (16-8),GEO,Minimal,3,500,0.006561,0,41.0628,41.0628,100,10,58.7616
Standard (16-8),GEO,Minimal,3,1000,0.00254187,0,41.0628,41.0628,100,10,110.779
Standard (16-8),GEO,Minimal,3,100,0.00254187,0.2,41.0628,41.0628,100,10,9.00662
Standard (16-8),GEO,Minimal,3,500,0.00166772,0.2,41.0628,41.0628,100,10,44.7495
Standard (16-8),GEO,Minimal,3,1000,0.000646108,0.2,41.0628,41.0628,100,10,89.3388
Standard (16-8),GEO,Minimal,3,100,0.000646108,0.5,41.0628,41.0628,100,10,5.3551
Standard (16-8),GEO,Minimal,3,500,0.000423912,0.5,41.0628,41.0628,100,10,28.2311
Standard (16-8),GEO,Minimal,3,1000,0.000164232,0.5,41.0628,41.0628,100,10,57.113
Standard (16-8),GEO,Minimal,3,100,0.05,0,41.0628,41.0628,100,10,11.0822
Standard (16-8),GEO,Minimal,3,500,0.032805,0,41.0628,41.0628,100,10,55.844
Standard (16-8),GEO,Minimal,3,1000,0.0127093,0,41.0628,41.0628,100,10,110.686
