pattern,coverage,protection,input_size,hidden_size,output_size,weights_affected,biases_affected,injected_faults,detected_faults,corrected_faults,mse,correction_rate
SINGLE_BIT,1,disabled,8,16,4,2,0,2,2,0,0.000000,0.000000
SINGLE_BIT,1,enabled,8,16,4,4,0,2,2,10600,0.000000,530000.000000
SINGLE_BIT,5,disabled,8,16,4,12,2,10,10,0,0.002325,0.000000
SINGLE_BIT,5,enabled,8,16,4,21,3,10,10,10600,0.000000,106000.000000
SINGLE_BIT,10,disabled,8,16,4,39,5,21,21,0,inf,0.000000
SINGLE_BIT,10,enabled,8,16,4,54,7,21,21,10800,0.000000,51428.571429
SINGLE_BIT,20,disabled,8,16,4,77,11,42,42,0,inf,0.000000
SINGLE_BIT,20,enabled,8,16,4,98,11,42,42,12050,0.010291,28690.476190
SINGLE_BIT,30,disabled,8,16,4,132,12,63,63,0,inf,0.000000
SINGLE_BIT,30,enabled,8,16,4,155,14,63,63,14800,0.000000,23492.063492
ADJACENT_BITS,1,disabled,8,16,4,155,14,2,2,0,inf,0.000000
ADJACENT_BITS,1,enabled,8,16,4,155,14,2,2,15350,0.000000,767500.000000
ADJACENT_BITS,5,disabled,8,16,4,159,15,10,10,0,inf,0.000000
ADJACENT_BITS,5,enabled,8,16,4,160,15,10,10,16850,0.000017,168500.000000
ADJACENT_BITS,10,disabled,8,16,4,165,16,21,21,0,inf,0.000000
ADJACENT_BITS,10,enabled,8,16,4,168,16,21,21,19950,0.008026,95000.000000
ADJACENT_BITS,20,disabled,8,16,4,172,17,42,42,0,inf,0.000000
ADJACENT_BITS,20,enabled,8,16,4,176,17,42,42,29600,0.632846,70476.190476
ADJACENT_BITS,30,disabled,8,16,4,181,19,63,63,0,inf,0.000000
ADJACENT_BITS,30,enabled,8,16,4,185,19,63,63,42150,0.265317,66904.761905
BYTE_ERROR,1,disabled,8,16,4,185,19,2,2,0,inf,0.000000
BYTE_ERROR,1,enabled,8,16,4,185,19,2,2,43700,0.000000,2185000.000000
BYTE_ERROR,5,disabled,8,16,4,185,19,10,10,0,inf,0.000000
BYTE_ERROR,5,enabled,8,16,4,186,19,10,10,49950,0.003438,499500.000000
BYTE_ERROR,10,disabled,8,16,4,187,19,21,21,0,inf,0.000000
BYTE_ERROR,10,enabled,8,16,4,187,19,21,21,61050,66201068010062480.000000,290714.285714
BYTE_ERROR,20,disabled,8,16,4,189,19,42,42,0,inf,0.000000
BYTE_ERROR,20,enabled,8,16,4,189,19,42,42,85950,658023382457031375810723840.000000,204642.857143
BYTE_ERROR,30,disabled,8,16,4,191,20,63,63,0,inf,0.000000
BYTE_ERROR,30,enabled,8,16,4,191,20,63,63,112500,nan,178571.428571
WORD_ERROR,1,disabled,8,16,4,191,20,2,2,0,nan,0.000000
WORD_ERROR,1,enabled,8,16,4,191,20,2,2,117250,nan,5862500.000000
